===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,firstStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,,1,2018-01-29 00:00:00,1459.0,1460.0,1415.0,1430.0,6047715.0,,firstStrategy,1,736723.0,Broker,1,10000.0,10000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
2,,2,2018-01-30 00:00:00,1430.0,1443.0,1398.0,1409.0,3274439.0,,firstStrategy,2,736724.0,Broker,2,10000.0,10000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
3,,3,2018-01-31 00:00:00,1398.0,1439.0,1376.0,1420.0,7436607.0,,firstStrategy,3,736725.0,Broker,3,10000.0,10000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
4,,4,2018-02-03 00:00:00,1420.0,1428.0,1388.0,1420.0,8440460.0,,firstStrategy,4,736728.0,Broker,4,10000.0,10000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,
5,,5,2018-02-04 00:00:00,1422.0,1430.0,1393.0,1409.0,3174207.0,,firstStrategy,5,736729.0,Broker,5,10000.0,10000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,
6,,6,2018-02-05 00:00:00,1401.0,1420.0,1397.0,1397.0,4661768.0,,firstStrategy,6,736730.0,Broker,6,10000.0,10000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,
7,,7,2018-02-06 00:00:00,1395.0,1429.0,1383.0,1393.0,3543204.0,,firstStrategy,7,736731.0,Broker,7,10000.0,10000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,
8,,8,2018-02-07 00:00:00,1406.0,1407.0,1390.0,1396.0,3708737.0,,firstStrategy,8,736732.0,Broker,8,10000.0,10000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,
9,,9,2018-02-10 00:00:00,1403.0,1427.0,1380.0,1380.0,8972976.0,,firstStrategy,9,736735.0,Broker,9,10000.0,10000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,
10,,10,2018-02-12 00:00:00,1406.0,1410.0,1382.0,1382.0,2536439.0,,firstStrategy,10,736737.0,Broker,10,10000.0,10000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,
11,,11,2018-02-13 00:00:00,1384.0,1397.0,1378.0,1386.0,2565935.0,,firstStrategy,11,736738.0,Broker,11,10000.0,10000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,
12,,12,2018-02-14 00:00:00,1398.0,1400.0,1379.0,1397.0,2594019.0,,firstStrategy,12,736739.0,Broker,12,10000.0,10000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,
13,,13,2018-02-17 00:00:00,1385.0,1395.0,1360.0,1360.0,4055202.0,,firstStrategy,13,736742.0,Broker,13,10000.0,10000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,
14,,14,2018-02-18 00:00:00,1359.0,1378.0,1351.0,1351.0,4140200.0,,firstStrategy,14,736743.0,Broker,14,10000.0,10000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,
15,,15,2018-02-19 00:00:00,1351.0,1397.0,1351.0,1351.0,14105149.0,,firstStrategy,15,736744.0,Broker,15,10000.0,10000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,
16,,16,2018-02-21 00:00:00,1367.0,1393.0,1348.0,1389.0,7992667.0,,firstStrategy,16,736746.0,Broker,16,10000.0,10000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,
17,,17,2018-02-24 00:00:00,1371.0,1395.0,1352.0,1380.0,5262557.0,,firstStrategy,17,736749.0,Broker,17,10000.0,10000.0,BuySell,17,,,Trades - Net Profit/Loss,17,,
18,,18,2018-02-25 00:00:00,1381.0,1401.0,1375.0,1385.0,26625257.0,,firstStrategy,18,736750.0,Broker,18,10000.0,10000.0,BuySell,18,,,Trades - Net Profit/Loss,18,,
19,,19,2018-02-26 00:00:00,1381.0,1400.0,1370.0,1388.0,8256550.0,,firstStrategy,19,736751.0,Broker,19,10000.0,10000.0,BuySell,19,,,Trades - Net Profit/Loss,19,,
20,,20,2018-02-27 00:00:00,1388.0,1396.0,1368.0,1370.0,3656756.0,,firstStrategy,20,736752.0,Broker,20,10000.0,10000.0,BuySell,20,,,Trades - Net Profit/Loss,20,,
21,,21,2018-02-28 00:00:00,1382.0,1400.0,1370.0,1379.0,3128580.0,,firstStrategy,21,736753.0,Broker,21,10000.0,10000.0,BuySell,21,,,Trades - Net Profit/Loss,21,,
22,,22,2018-03-03 00:00:00,1380.0,1397.0,1366.0,1370.0,7133766.0,,firstStrategy,22,736756.0,Broker,22,10000.0,10000.0,BuySell,22,,,Trades - Net Profit/Loss,22,,
23,,23,2018-03-04 00:00:00,1370.0,1395.0,1351.0,1360.0,66637941.0,,firstStrategy,23,736757.0,Broker,23,10000.0,10000.0,BuySell,23,,,Trades - Net Profit/Loss,23,,
24,,24,2018-03-05 00:00:00,1375.0,1390.0,1344.0,1357.0,12167172.0,,firstStrategy,24,736758.0,Broker,24,10000.0,10000.0,BuySell,24,,,Trades - Net Profit/Loss,24,,
25,,25,2018-03-06 00:00:00,1342.0,1378.0,1325.0,1357.0,16687191.0,,firstStrategy,25,736759.0,Broker,25,10000.0,10000.0,BuySell,25,,,Trades - Net Profit/Loss,25,,
26,,26,2018-03-07 00:00:00,1335.0,1360.0,1331.0,1353.0,1579016.0,,firstStrategy,26,736760.0,Broker,26,10000.0,10000.0,BuySell,26,,,Trades - Net Profit/Loss,26,,
27,,27,2018-03-10 00:00:00,1352.0,1368.0,1340.0,1345.0,8140656.0,,firstStrategy,27,736763.0,Broker,27,10000.0,10000.0,BuySell,27,,,Trades - Net Profit/Loss,27,,
28,,28,2018-03-11 00:00:00,1351.0,1351.0,1325.0,1338.0,5970311.0,,firstStrategy,28,736764.0,Broker,28,10000.0,10000.0,BuySell,28,,,Trades - Net Profit/Loss,28,,
29,,29,2018-03-12 00:00:00,1320.0,1357.0,1310.0,1320.0,21180648.0,,firstStrategy,29,736765.0,Broker,29,10000.0,10000.0,BuySell,29,,,Trades - Net Profit/Loss,29,,
30,,30,2018-03-18 00:00:00,1131.0,1187.0,1129.0,1171.0,10532332.0,,firstStrategy,30,736771.0,Broker,30,10000.0,10000.0,BuySell,30,,,Trades - Net Profit/Loss,30,,
31,,31,2018-03-19 00:00:00,1179.0,1200.0,1165.0,1190.0,8726137.0,,firstStrategy,31,736772.0,Broker,31,10000.0,10000.0,BuySell,31,,,Trades - Net Profit/Loss,31,,
32,,32,2018-03-25 00:00:00,1190.0,1205.0,1180.0,1195.0,1494499.0,,firstStrategy,32,736778.0,Broker,32,10000.0,10000.0,BuySell,32,,,Trades - Net Profit/Loss,32,,
33,,33,2018-03-26 00:00:00,1194.0,1205.0,1181.0,1189.0,3517145.0,,firstStrategy,33,736779.0,Broker,33,10000.0,10000.0,BuySell,33,,,Trades - Net Profit/Loss,33,,
34,,34,2018-03-27 00:00:00,1188.0,1205.0,1169.0,1179.0,5952834.0,,firstStrategy,34,736780.0,Broker,34,10000.0,10000.0,BuySell,34,,,Trades - Net Profit/Loss,34,,
35,,35,2018-03-28 00:00:00,1190.0,1200.0,1182.0,1191.0,2782586.0,,firstStrategy,35,736781.0,Broker,35,10000.0,10000.0,BuySell,35,,,Trades - Net Profit/Loss,35,,
36,,36,2018-04-03 00:00:00,1192.0,1200.0,1170.0,1170.0,2496208.0,,firstStrategy,36,736787.0,Broker,36,10000.0,10000.0,BuySell,36,,,Trades - Net Profit/Loss,36,,
37,,37,2018-04-04 00:00:00,1173.0,1193.0,1161.0,1161.0,1300709.0,,firstStrategy,37,736788.0,Broker,37,10000.0,10000.0,BuySell,37,,,Trades - Net Profit/Loss,37,,
38,,38,2018-04-07 00:00:00,1189.0,1189.0,1150.0,1152.0,2339247.0,,firstStrategy,38,736791.0,Broker,38,10000.0,10000.0,BuySell,38,,,Trades - Net Profit/Loss,38,,
39,,39,2018-04-08 00:00:00,1153.0,1180.0,1136.0,1138.0,5352608.0,,firstStrategy,39,736792.0,Broker,39,10000.0,10000.0,BuySell,39,,,Trades - Net Profit/Loss,39,,
40,,40,2018-04-09 00:00:00,1167.0,1170.0,1137.0,1155.0,18326955.0,,firstStrategy,40,736793.0,Broker,40,10000.0,10000.0,BuySell,40,,,Trades - Net Profit/Loss,40,,
41,,41,2018-04-10 00:00:00,1140.0,1150.0,1130.0,1132.0,4565346.0,,firstStrategy,41,736794.0,Broker,41,10000.0,10000.0,BuySell,41,,,Trades - Net Profit/Loss,41,,
42,,42,2018-04-11 00:00:00,1133.0,1155.0,1096.0,1120.0,20461466.0,,firstStrategy,42,736795.0,Broker,42,10000.0,10000.0,BuySell,42,,,Trades - Net Profit/Loss,42,,
43,,43,2018-04-15 00:00:00,1110.0,1150.0,1105.0,1145.0,4986925.0,,firstStrategy,43,736799.0,Broker,43,10000.0,10000.0,BuySell,43,,,Trades - Net Profit/Loss,43,,
44,,44,2018-04-16 00:00:00,1137.0,1148.0,1085.0,1087.0,7599514.0,,firstStrategy,44,736800.0,Broker,44,10000.0,10000.0,BuySell,44,,,Trades - Net Profit/Loss,44,,
45,,45,2018-04-17 00:00:00,1099.0,1131.0,1091.0,1129.0,9107055.0,,firstStrategy,45,736801.0,Broker,45,10000.0,10000.0,BuySell,45,,,Trades - Net Profit/Loss,45,,
46,,46,2018-04-18 00:00:00,1122.0,1139.0,1114.0,1138.0,5795765.0,,firstStrategy,46,736802.0,Broker,46,10000.0,10000.0,BuySell,46,,,Trades - Net Profit/Loss,46,,
47,,47,2018-04-21 00:00:00,1137.0,1139.0,1098.0,1111.0,4018734.0,,firstStrategy,47,736805.0,Broker,47,10000.0,10000.0,BuySell,47,,,Trades - Net Profit/Loss,47,,
